"";"Isoleucin";"Leucin";"Lysin";"Methionin";"Cystein";"Phenylalanin";"Tyrosin";"Threonin";"Tryptophan";"Valin";"Arginin";"Histidin";"Essentielle Aminosäuren";"Alanin";"Asparaginsäure";"Glutaminsäure";"Glycin";"Prolin";"Serin";"Nichtessentielle Aminosäuren";"Harnsäure";"Purin"
"Hühnerei Vollei frisch";787;1082;735;387;284;748;529;658;181;1045;826;258;7520;710;1200;1548;400;477;916;5251;5;2
"Gnocchi gekocht";146;178;360;62;1613;883;136;20;68;165;259;156;64;2026;177;301;7;200;127;46;116;195
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";41;45;102;7;408;115;37;7;15;59;62;47;11;378;42;50;2;33;37;10;26;47
"Salami Kroatische Art";1408;1513;2356;306;13131;4098;1331;186;870;1176;1792;2177;640;11444;1024;1152;62;1099;1126;281;920;1306
"Suppenhuhn Fleisch (mittelfett) frisch";1026;1197;1710;247;9918;2850;931;159;570;988;1425;1653;494;8132;760;855;53;760;798;209;665;912
"Lyoner Wurst";717;771;1201;157;6693;2089;679;134;443;600;913;1109;326;5833;522;587;45;560;574;144;469;665
"Marzipan Rohmasse";487;1448;1217;197;5723;2964;645;26;280;462;815;328;146;6384;632;621;9;450;341;98;353;623
"Weintraube weiß frisch";29;52;86;12;219;144;21;20;25;6;15;16;23;337;15;23;7;34;19;4;13;19
"Kleber (Gluten)";1944;2349;2349;1539;29646;30213;2430;330;1620;3240;5508;1134;1296;51354;4050;10530;110;3888;1944;810;2835;3321
"Rhabarber frisch";18;20;29;1;179;48;17;5;11;17;24;25;7;144;17;15;2;17;14;7;11;25
"Papaya";30;20;103;0;228;69;39;15;10;17;35;52;5;293;20;20;5;32;22;17;10;20
"Tomatensoße mit Tomatenmark (Zubereitung Gastronomie)";121;129;370;36;1065;997;103;51;58;101;153;151;34;1811;99;109;17;111;100;31;67;106
"Geflügel Döner";618;718;1012;197;6223;2451;575;88;338;628;947;880;294;6024;546;802;29;566;497;139;423;616
"Walnüsse geröstet";656;1585;1533;184;5803;2712;734;23;262;497;865;275;157;7234;485;786;8;813;380;118;419;576
"Gouda mind. 45% Fett i. Tr.";780;980;1780;87;15632;6280;500;10;1050;1340;2620;2790;740;11250;1460;340;3;1570;950;285;1480;1850
"Haferflockenbrei (Zubereitung Haushalt)";204;227;390;68;2475;903;144;10;102;266;412;282;107;2278;240;362;3;275;195;62;202;312
"Kefir entrahmt";114;114;256;27;1784;700;72;0;83;197;324;244;79;1647;158;325;0;180;141;45;158;214
