name;Poly-Pentosen;Poly-Hexosen;Poly-Uronsäure;Cellulose;Lignin;Wasserlösliche Ballaststoffe;Wasserunlösliche Ballaststoffe
Hühnerei Vollei frisch;0;0;0;0;0;0;0
Gnocchi gekocht;569;0;829;279;254;687;1243
Kopfsalat mit Essigmarinade (Zubereitung Haushalt);585;14;122;143;316;182;997
Salami Kroatische Art;15;15;13;19;15;24;53
Suppenhuhn Fleisch (mittelfett) frisch;0;0;0;0;0;0;0
Lyoner Wurst;12;11;10;12;11;18;39
Marzipan Rohmasse;1480;198;6511;1480;198;3947;5920
Weintraube weiß frisch;300;100;90;160;150;112;688
Kleber (Gluten);390;30;300;200;80;250;750
Rhabarber frisch;941;87;584;253;435;766;1534
Papaya;399;342;323;418;418;790;1110
Tomatensoße mit Tomatenmark (Zubereitung Gastronomie);712;261;409;233;533;479;1669
Geflügel Döner;249;12;800;384;132;546;1031
Walnüsse geröstet;1678;558;838;1117;1396;2793;2793
Gouda mind. 45% Fett i. Tr.;0;0;0;0;0;0;0
Haferflockenbrei (Zubereitung Haushalt);61;31;228;163;26;153;356
Kefir entrahmt;0;0;0;0;0;0;0
Lachsschinkenpastete;19;2;82;19;2;49;74
Mais-Fladenbrot;732;57;563;376;151;470;1410
Roggen Vollkorn;1400;700;4200;7000;700;4970;9030
Schwein Schinken gekocht geräuchert;0;0;0;0;0;0;0
Blattspinat tiefgefroren;1083;135;406;406;677;677;2030
Weißkohl (Weißkraut) gegart;912;86;342;484;1025;855;1995
Maiskeimöl;0;0;0;0;0;0;0
Brathähnchen Brustfilet roh;0;0;0;0;0;0;0
Schweineschmalz, -fett;0;0;0;0;0;0;0
Plockwurst einfach;11;11;9;9;12;15;37
Hirse ganzes Korn roh;1690;1040;6760;1430;2080;4810;8190
Butterschmalz;0;0;0;0;0;0;0
Frikadelle (Zubereitung Gastronomie);129;19;204;75;88;211;305
Kalb Leber roh;0;0;0;0;0;0;0
Stockwurst;20;18;27;22;18;34;72
Bier;0;0;0;0;0;0;0
Camembert Doppelrahmstufe;0;0;0;0;0;0;0
Schwein Filet (mager) frisch gegart;0;0;0;0;0;0;0
Schnittkäse;0;0;0;0;0;0;0
Debreziner Konserve;21;21;19;23;21;32;73
Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt);388;79;230;98;396;336;854
Eier gekocht, gesalzen (Zubereitung Haushalt);0;0;0;0;0;0;0
Rind Leber roh;0;0;0;0;0;0;0
Krabbe klein (Shrimps) gegart;0;0;0;0;0;0;0
Wildreis gekocht;334;211;1314;78;289;1391;835
Sülzwurst hervorhebend;11;11;10;10;10;15;37
Geflügelbratwurst;19;10;11;13;14;20;48
Weißer Preßkopf;12;8;23;12;9;20;42
Rind Hackfleisch frisch;0;0;0;0;0;0;0
Sülzkotelett;5;0;1;0;1;1;5
Gänseleberkäse getrüffelt;10;8;9;11;10;14;34
Pommes frites mit Ketchup;451;22;445;128;240;361;924
Mango tiefgefroren;373;319;302;390;390;656;1118
Zwiebeln gebraten (zubereitet ohne Fett);485;66;478;66;372;304;1594
Schnittkäse Vollfettstufe;0;0;0;0;0;0;0
Zucker braun Rohzucker;0;0;0;0;0;0;0
Schinkenwurst Krakauer Art roh;10;9;12;10;9;16;34
Quark mit Kräutern Fettstufe;719;120;399;326;429;571;1423
Pastete im Brotteig;7;1;23;17;1;23;26
Schwein Leber gegart;0;0;0;0;0;0;0
Lauchzwiebel roh;812;56;1008;140;784;1372;1428
Kartoffelpüree (Zubereitung Gastronomie);559;0;591;160;287;479;1117
Aprikose Konfitüre;90;30;30;270;180;277;323
Klarer;0;0;0;0;0;0;0
Gerste Perlgraupen;463;139;2129;1667;232;926;3704
Lakritze;294;10;1011;450;170;660;1275
Westfälische grobe Mettwurst;7;7;7;12;7;12;27
Helle Zungenwurst Konserve;33;18;80;34;20;66;120
Schalotte roh;435;30;540;75;420;735;765
Cornflakes mit Zucker, Honig geröstet;1415;109;1088;725;290;907;2721
Haferdrink;96;48;360;256;40;240;560
Spargel weiß gegart;726;102;189;233;203;451;1003
Sojaerzeugnisse;6316;341;5976;2220;2220;8537;8537
Marmorkuchen aus Rührmasse;159;313;710;324;79;421;1164
Weichkäse aus Ziegenmilch (45% Fett i. Tr.);0;0;0;0;0;0;0
Landjäger;3;3;8;5;3;7;15
Zuckererbsen frisch;2250;100;1650;750;250;300;4700
Weizen Grieß gegart;132;37;220;292;51;183;549
Feldsalat frisch;900;18;180;216;486;270;1530
Hafer ganzes Korn roh;1160;580;4352;3094;484;4760;4910
Weißbrot-Weizentoastbrot;251;14;1790;789;103;1108;1839
Walnüsse;1842;614;921;1228;1535;3070;3070
Konfitüre Gelee Marmeladen;209;4;68;138;330;178;570
Kiwi frisch;819;702;663;858;858;1084;2816
Haselnusspastete;245;88;127;168;206;312;522
Lachs tiefgefroren;0;0;0;0;0;0;0
Pumpernickel;885;430;2652;4278;432;3136;5542
Kaiserjagdwurst Konserve;14;12;12;13;13;20;46
Mais-Vollkornfladenbrot;2431;187;1869;1247;498;1559;4674
Honig;0;0;0;0;0;0;0
Vollkornbrot mit Sonnenblumenkernen;887;425;2621;4219;427;3111;5469
Schaf Muskelfleisch;0;0;0;0;0;0;0
Rind Lunge frisch;0;0;0;0;0;0;0
