"name";"Butansäure/Buttersäure";"Hexansäure/Capronsäure";"Octansäure/Caprylsäure";"Decansäure/Caprinsäure";"Dodecansäure/Laurinsäure";"Tetradecansäure/Myristinsäure";"Pentadecansäure";"Hexadecansäure/Palmitinsäure";"Heptadecansäure";"Octadecansäure/Stearinsäure";"Eicosansäure/Arachinsäure";"Decosansäure/Behensäure";"Tetracosansäure/Lignocerinsäure";"Gesättigte Fettsäuren";"Tetradecensäure";"Pentadecensäure";"Hexadecensäure/Palmitoleinsäure";"Heptadecensäure";"Octadecensäure/Ölsäure";"Eicosensäure";"Decosensäure/Erucasäure";"Tetracosensäure/Nervonsäure";"Einfach ungesättigte Fettsäuren";"Hexadecadiensäure";"Hexadecatetraensäure";"Octadecadiensäure/Linolsäure omega-6";"ALA - Linolensäure/Octadecatriensäure omega-3";"Octadecatetraensäure/Stearidonsäure omega-3";"Nonadecatriensäure";"Eicosadiensäure omega-6";"Eicosatriensäure omega-3";"Eicosatetraensäure/Arachidonsäure omega-6";"EPA - Eicosapentaensäure omega-3";"Docosadiensäure omega-6";"Docosatriensäure omega-6";"Docosatetraensäure omega-6";"Docosapentaensäure omega-3";"DHA - Docosahexaensäure omega-3";"Mehrfach ungesättigte Fettsäuren";"Kurzkettige Fettsäuren";"Mittelkettige Fettsäuren";"Langkettige Fettsäuren";"Glycerin und Lipoide";"Cholesterin"
"Gnocchi gekocht";0;0;19;0;0;0;0;0;0;0;0;0;0;3;0;0;1;168;0;135;97;0;0;0;105;0;15;0;0;444;141;0;0;0;25;0;152;0;0;0;0;0;2;0
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";0;0;0;0;75;11;0;0;0;0;0;0;0;43;0;0;21;2502;0;1327;523;0;0;0;662;0;12;0;0;10796;6967;0;0;0;515;0;2458;0;0;0;21;0;11;0
"Salami Kroatische Art";0;0;90;0;0;0;0;0;0;0;0;47;0;3;0;0;193;11671;0;8889;1308;8;3;0;5394;0;754;0;0;23381;2821;0;0;0;3126;0;10721;0;3;0;0;0;308;0
"Suppenhuhn Fleisch (mittelfett) frisch";0;0;94;19;19;0;0;0;0;0;0;19;0;19;0;0;115;9248;0;6828;1117;38;19;0;5103;0;1381;0;0;19164;3107;19;0;0;1362;0;7714;0;19;0;0;0;230;19
"Lyoner Wurst";0;0;67;0;0;0;0;0;0;0;0;45;0;12;0;0;207;11335;0;8780;1256;21;12;0;5335;0;722;0;0;22829;2714;0;0;0;3015;0;10394;0;12;0;0;0;340;0
"Marzipan Rohmasse";0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;34;23972;0;2920;1606;0;0;0;2181;0;212;0;0;33559;6667;0;0;0;627;0;23726;0;0;0;0;0;56;0
"Weintraube weiß frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;118;60;0;0;0;102;0;0;0;0;240;107;0;0;0;13;0;15;0;0;0;0;0;3;0
"Kleber (Gluten)";0;0;0;0;0;0;0;0;0;0;0;0;0;230;0;0;0;202;0;806;1120;0;0;0;562;0;0;0;0;2880;1872;0;0;0;14;0;202;0;0;0;0;0;0;0
"Rhabarber frisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;25;20;0;0;0;21;0;0;0;0;80;50;0;0;0;4;0;5;0;0;0;0;0;0;0
"Papaya";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;25;0;27;18;0;0;0;20;0;13;0;0;72;20;0;0;0;1;0;12;0;0;0;0;0;5;0
