"name";"Kategorie";"Energie (kcal)";"Fett";"Kohlenhydrate";"Netto-Kohlenhydrate";"Eiweiß, Proteingehalt";"Ballaststoffe";"Wasser";"Alkohol (Ethanol)";"Mineralstoffe (Rohasche)";"organische Säuren";"PRAL-Wert"
"Gnocchi gekocht";"Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze";150;0,5;31,9;31,9;3,6;1,9;61;0;0,6;0,4;0,3
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";"Menükomponenten";110;11,3;1,1;1,1;0,9;1,2;84,2;0;0,9;0,4;2,8
"Salami Kroatische Art";"Wurst, Fleischwaren";323;24,7;0,3;0,3;25,6;0,1;44,3;0;5,1;0;10,1
"Suppenhuhn Fleisch (mittelfett) frisch";"Fleisch (Wild, Geflügel, Federwild, Innereien)";257;20,3;0;NA;19;0;59,8;0;0,9;0;8,7
"Lyoner Wurst";"Wurst, Fleischwaren";267;24,1;0,3;0,3;13;0,1;59;0;3,4;0,1;4,5
"Marzipan Rohmasse";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";512;35,2;37,3;37,3;12,2;9,9;3,7;0;1,7;0;0,3
"Weintraube weiß frisch";"Früchte, Obst und Obsterzeugnisse";71;0,3;15,6;15,4;0,7;0,8;81,3;0;0,5;0,8;3,4
"Kleber (Gluten)";"Cerealien, Getreide und Getreideprodukte, Reis";393;4;7;NA;81;1;6;0;1;0;39,7
"Rhabarber frisch";"Früchte, Obst und Obsterzeugnisse";13;0,1;1,4;1,4;0,6;2,3;93,7;0;0,6;1,4;5,5
"Papaya";"Früchte, Obst und Obsterzeugnisse";32;0,1;7,1;7,1;0,5;1,9;89,8;0;0,6;0,1;4,5
"Tomatensoße mit Tomatenmark (Zubereitung Gastronomie)";"Menükomponenten";126;8,2;9,7;9,7;3,3;2,1;74,5;0;1,8;0,3;10,5
"Geflügel Döner";"Menükomponenten";164;2,6;21,9;21,9;12,8;1,6;59,7;0;1,4;0;5,8
"Walnüsse geröstet";"Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen";675;65,9;9,6;9,6;13,1;5,6;4;0;1,8;0;5,7
"Gouda mind. 45% Fett i. Tr.";"Milch, Milcherzeugnisse, Käse";364;30,8;0;NA;21,9;0;40,9;0;2,9;1;18,9
"Haferflockenbrei (Zubereitung Haushalt)";"Menükomponenten";133;5,5;15,6;15,6;4,8;0,5;72,5;0;0,8;0,2;1,8
"Dresdner Stollen aus Hefeteig fettreich";"Kuchen, Feinbackwaren, Dauerbackwaren";408;21,8;46,7;46,7;5,7;3,4;20,7;0;0,8;0,9;0,2
"Kefir entrahmt";"Milch, Milcherzeugnisse, Käse";38;0,1;4,2;4,2;3,4;0;90,2;0,5;0,8;0,8;0,3
"Lachsschinkenpastete";"Wurst, Fleischwaren";250;19,9;0,5;0,5;17,6;0,1;57,5;0;4,3;0;6,6
"Mais-Fladenbrot";"Brot- und Kleingebäck";222;1,8;45,5;45,5;5,2;1,9;43,6;0;2;0;5,9
"Roggen Vollkorn";"Cerealien, Getreide und Getreideprodukte, Reis";294;1,7;59,7;59,7;9;14;13,7;0;1,9;0;3,1
"Schwein Schinken gekocht geräuchert";"Wurst, Fleischwaren";121;4,3;1,1;1,1;19,5;0;71,9;0;3,3;0;10
"Blattspinat tiefgefroren";"Gemüse und Gemüseerzeugnisse";18;0,3;0,5;0,5;2,6;2,7;91,5;0;1,5;0,8;12,3
"Weißkohl (Weißkraut) gegart";"Gemüse und Gemüseerzeugnisse";20;0,2;3;NA;1,3;2,8;91,9;0;0,5;0,2;1,7
"Maiskeimöl";"Fette, Öle, Butter, Schmalz";883;99,9;0;NA;0;0;0,1;0;0;0;0,2
"Brathähnchen Brustfilet roh";"Fleisch (Wild, Geflügel, Federwild, Innereien)";102;0,7;0;NA;23,6;0;74,6;0;1,2;0;12,9
"Schweineschmalz, -fett";"Fette, Öle, Butter, Schmalz";882;99,7;0;NA;0,1;0;0,1;0;0,1;0;0,1
"Plockwurst einfach";"Wurst, Fleischwaren";434;38,9;0,4;0,4;21,7;0,1;34,6;0;4,4;0;9,9
"Hirse ganzes Korn roh";"Cerealien, Getreide und Getreideprodukte, Reis";331;3,6;64;NA;9,6;13;7,5;0;2;0;2,5
"Butterschmalz";"Fette, Öle, Butter, Schmalz";880;99,5;0;NA;0,3;0;0,2;0;0,1;0;0
"Frikadelle (Zubereitung Gastronomie)";"Menükomponenten";165;8,3;3,6;3,6;19,1;0,5;66,9;0;1,7;0;9,5
"Kalb Leber roh";"Fleisch (Wild, Geflügel, Federwild, Innereien)";87;1,2;4,1;4,1;14,9;0;78,5;0;1,4;0;11,4
"Stockwurst";"Wurst, Fleischwaren";259;21,5;0,5;0,5;16,5;0,1;58,3;0;3;0,1;6,8
"Bier";"Alkoholische Getränke";42;0;3,1;3,1;0,5;0;92,2;4;0,2;0;0
"Camembert Doppelrahmstufe";"Milch, Milcherzeugnisse, Käse";362;33,2;0;NA;16,8;0;46,5;0;3,3;0,2;11,2
"Schwein Filet (mager) frisch gegart";"Fleisch (Rind, Kalb, Schwein, Hammel, Lamm)";146;2,2;0;NA;31,1;0;65,4;0;1,3;0;14,7
"Schnittkäse";"Milch, Milcherzeugnisse, Käse";354;28,3;0;NA;24,8;0;41,9;0;4;1;19,1
"Debreziner Konserve";"Wurst, Fleischwaren";331;31;0,3;0,3;13,8;0,1;52,2;0;2,5;0,1;5,6
"Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt)";"Menükomponenten";37;2,1;2,8;2,8;1,6;1,2;90,9;0;1,2;0,3;3,4
"Eier gekocht, gesalzen (Zubereitung Haushalt)";"Menükomponenten";154;11,2;0,7;0,7;12,9;0;73,9;0;1,4;0;10,9
"Rind Leber roh";"Fleisch (Wild, Geflügel, Federwild, Innereien)";132;3,7;5,3;5,3;19,2;0;70,3;0;1,6;0;14,6
"Quark mit Früchten Magerstufe- Magerquark";"Milch, Milcherzeugnisse, Käse";103;0,7;17,5;17,3;6;0,8;73,8;0;0,6;0,6;1,9
"Krabbe klein (Shrimps) gegart";"Fische, Krusten-, Schalen-, Weichtiere";93;1,5;0,8;0,8;18,9;0;77,4;0;1,4;0;9
"Wildreis gekocht";"Cerealien, Getreide und Getreideprodukte, Reis";134;0,4;26,9;26,9;5,3;2,2;64,8;0;0,4;0;3,8
"Sülzwurst hervorhebend";"Wurst, Fleischwaren";171;8,3;0,4;0,4;23,5;0,1;64,9;0;2,8;0;9,7
"Geflügelbratwurst";"Wurst, Fleischwaren";115;2,8;0,3;0,3;21,9;0,1;71;0;3,8;0;10
"Weißer Preßkopf";"Wurst, Fleischwaren";220;14,2;1,1;1,1;22,2;0,1;54,9;0;7,5;0;9,9
"Rind Hackfleisch frisch";"Fleisch (Rind, Kalb, Schwein, Hammel, Lamm)";202;13,6;0,5;0,5;19,7;0;65,2;0;1,1;0;8,8
"Sülzkotelett";"Wurst, Fleischwaren";119;4,4;0,9;0,9;18,8;0;70,2;0;5,6;0;5,8
"Gänseleberkäse getrüffelt";"Wurst, Fleischwaren";221;14,2;2,7;2,7;20,7;0;58,8;0;3,4;0,1;12,3
"Pommes frites mit Ketchup";"Menükomponenten";139;6,2;18;NA;2,1;1,3;69,6;0;2,1;0,6;-7
"Mango tiefgefroren";"Früchte, Obst und Obsterzeugnisse";63;0,5;13,4;13,4;0,6;1,8;82,6;0;0,5;0,6;-4
"Zwiebeln gebraten (zubereitet ohne Fett)";"Gemüse und Gemüseerzeugnisse";29;0,3;5,2;5,2;1,2;1,5;91,2;0;0,5;0,2;2,1
"Schnittkäse Vollfettstufe";"Milch, Milcherzeugnisse, Käse";344;27;0;NA;25,3;0;42,7;0;4,1;1;19,4
"Zucker braun Rohzucker";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";396;0;97,4;97,4;0;0;2,2;0;0,5;0;2,1
"Schinkenwurst Krakauer Art roh";"Wurst, Fleischwaren";304;26,5;0,2;0,2;16,8;0,1;52,7;0;3,8;0;6,8
"Quark mit Kräutern Fettstufe";"Milch, Milcherzeugnisse, Käse";113;4,7;11,8;11,8;5,5;2;74,4;0;1,2;0,4;2,2
"Pastete im Brotteig";"Wurst, Fleischwaren";222;15,5;0,6;0,6;20,4;0;61,3;0;2,2;0;8,3
"Schwein Leber gegart";"Fleisch (Wild, Geflügel, Federwild, Innereien)";148;5,2;1,1;1,1;24;0;68,4;0;1,3;0;19,2
"Lauchzwiebel roh";"Gemüse und Gemüseerzeugnisse";42;0,3;8,5;8,5;0,9;2,8;86,6;0;0,7;0,2;5,6
"Kartoffelpüree (Zubereitung Gastronomie)";"Menükomponenten";108;5,6;11,7;11,7;2,3;1,6;77,2;0;1,1;0,5;4,5
"Aprikose Konfitüre";"Früchte, Obst und Obsterzeugnisse";250;0,1;60,6;60,4;0,3;0,6;37,5;0;0,3;0,5;1,2
"Klarer";"Alkoholische Getränke";185;0;0;NA;0;0;73,3;26,7;0;0;0,2
"Gerste Perlgraupen";"Cerealien, Getreide und Getreideprodukte, Reis";339;1,4;71;NA;9,7;4,6;12,2;0;1,2;0;5,9
"Lakritze";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";375;0,9;86,2;86,2;4,3;1,9;5,9;0;0,7;0;0,6
"Westfälische grobe Mettwurst";"Wurst, Fleischwaren";335;28,7;0,2;0,2;19,9;0;47,1;0;4,2;0;7,9
"Helle Zungenwurst Konserve";"Wurst, Fleischwaren";265;22,3;0,7;0,7;15,9;0,2;57,5;0;3,4;0;6,8
"Schalotte roh";"Gemüse und Gemüseerzeugnisse";22;0,2;3,3;3,3;1,5;1,5;92,5;0;0,8;0,2;4,6
"Cornflakes mit Zucker, Honig geröstet";"Cerealien, Getreide und Getreideprodukte, Reis";353;0,5;79,3;79,3;6,5;3,6;6,9;0;3,2;0;2,3
"Haferdrink";"Cerealien, Getreide und Getreideprodukte, Reis";46;1,5;6,7;6,7;1;0,8;89,6;0;0,3;20;0,5
"Spargel weiß gegart";"Gemüse und Gemüseerzeugnisse";16;0,1;1,6;1,6;1,9;1,5;94,2;0;0,6;0,2;0,4
"Sojaerzeugnisse";"Vegetarische Produkte";360;23,4;0,4;0,4;37,2;17,1;8,2;0;4,5;0,3;9,1
"Marmorkuchen aus Rührmasse";"Kuchen, Feinbackwaren, Dauerbackwaren";391;21,7;42,9;42,9;6,2;1,6;26,8;0;0,7;0;6
"Weichkäse aus Ziegenmilch (45% Fett i. Tr.)";"Milch, Milcherzeugnisse, Käse";275;21,8;0;NA;20,1;0;53,6;0;4,2;0,3;15,8
"Landjäger";"Wurst, Fleischwaren";456;44,4;0,4;0,4;15,2;0;36,2;0;3,8;0;6,5
"Zuckererbsen frisch";"Gemüse und Gemüseerzeugnisse";59;0,2;10;NA;4;5;79,6;0;0,9;0,3;2,4
"Weizen Grieß gegart";"Cerealien, Getreide und Getreideprodukte, Reis";29;0,1;6,1;6,1;1;0,7;92,1;0;0,1;0;0,4
"Feldsalat frisch";"Gemüse und Gemüseerzeugnisse";14;0,4;0,7;0,7;1,8;1,8;94,2;0;0,8;0,3;6,9
"Hafer ganzes Korn roh";"Cerealien, Getreide und Getreideprodukte, Reis";332;7,1;55,7;55,7;10,7;9,7;13,8;0;2,9;0;6
"Weißbrot-Weizentoastbrot";"Brot- und Kleingebäck";253;3,3;47,7;47,7;7,4;2,9;37;0;1,6;0,1;4,1
"Walnüsse";"Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen";654;62,5;10,6;10,6;14,4;6,1;4,4;0;2;0;6,3
"Konfitüre Gelee Marmeladen";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";279;0,1;68,3;68,1;0,1;0,7;30,3;0;0,1;0,2;-1
"Kiwi frisch";"Früchte, Obst und Obsterzeugnisse";61;0,6;10,8;10,8;1;3,9;80,5;0;0,7;2,5;5,7
"Haselnusspastete";"Wurst, Fleischwaren";281;23,1;1,2;1,2;17,7;0,8;54;0;3,1;0,1;6,3
"Lachs tiefgefroren";"Fische, Krusten-, Schalen-, Weichtiere";131;6,3;0;NA;18,4;0;74;0;1,2;0;10,1
"Pumpernickel";"Brot- und Kleingebäck";188;1;37,6;37,6;6,5;8,7;44,1;0;2,1;0,1;3,9
"Kaiserjagdwurst Konserve";"Wurst, Fleischwaren";218;16,8;0,2;0,2;16,8;0,1;63,3;0;2,7;0,1;6,6
"Mais-Vollkornfladenbrot";"Brot- und Kleingebäck";226;2,7;43,8;43,8;6,1;6,2;39;0;2,2;0;3,5
"Honig";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";306;0;75,1;75,1;0,4;0;24,3;0;0,2;0;0,4
"Vollkornbrot mit Sonnenblumenkernen";"Brot- und Kleingebäck";204;2,9;36,5;36,5;7,1;8,6;42,5;0;2,2;0,1;4,1
"Schaf Muskelfleisch";"Fleisch (Rind, Kalb, Schwein, Hammel, Lamm)";117;3,7;0;NA;20,8;0;74,3;0;1,2;0;10,5
"Rind Lunge frisch";"Fleisch (Wild, Geflügel, Federwild, Innereien)";94;2,6;0;NA;17,4;0;78,9;0;1;0;11,5
"Pak Choi frisch";"Gemüse und Gemüseerzeugnisse";14;0,3;1,2;1,2;1,2;1,9;94,4;0;0,6;0,4;2,1
"Champignon frisch";"Kartoffeln und Kartoffelerzeugnisse, stärkereiche Pflanzenteile, Pilze";15;0,2;0,6;0,1;2,7;2;93,3;0;1;0,1;3,4
"Knoblauchwurst einfach";"Wurst, Fleischwaren";367;34,2;0,4;0,4;15,7;0;46,2;0;3,5;0;7,7
"Wurzelpetersilie frisch";"Gemüse und Gemüseerzeugnisse";37;0,5;5,4;4,6;2,9;4,3;84,8;0;1,6;0,2;-6
"Apfel Fruchtsaft";"Früchte, Obst und Obsterzeugnisse";47;0;11,1;10,5;0,1;0;87,9;0,1;0,3;0,5;2,3
"Beerenobst";"Früchte, Obst und Obsterzeugnisse";71;0,3;15,6;15,4;0,7;0,8;81,3;0;0,5;0,8;3,4
"Pecannuss frisch";"Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen";692;72;4,4;4,4;9,3;9,5;3,2;0;1,6;0;0,4
"Schweinefilet im Netz                   ";"Wurst, Fleischwaren";162;8,1;1,1;1,1;21,2;0,4;67,9;0;1,3;0;7,9
"Geflügelwiener Würstchen";"Wurst, Fleischwaren";123;4,9;0,4;0,4;19,1;0,2;72,2;0;3,1;0,1;8,6
"Spekulatius aus Mürbeteig";"Kuchen, Feinbackwaren, Dauerbackwaren";489;25,6;56,8;56,8;7,8;3,3;5,6;0;0,8;0,1;4,6
"Geflügelgalantinen                     ";"Wurst, Fleischwaren";310;26,8;1,2;NA;16,9;0,7;51,6;0;2,8;0;8,8
"Mosaik-, Schachbrettpastete und andere";"Wurst, Fleischwaren";261;22;0,3;0,3;15,9;0,1;58,6;0;3;0,1;6,2
"Kresse frisch";"Gemüse und Gemüseerzeugnisse";35;0,7;2,5;2,5;4,2;3,5;86,8;0;1,9;0,4;11,9
"Banane frisch";"Früchte, Obst und Obsterzeugnisse";95;0,2;21,4;21,4;1,2;2;73,8;0;0,8;0,6;7,7
"Rumpsteak (Zubereitung Großküche)";"Menükomponenten";159;4,3;0,1;0,1;29,7;0;63,8;0;2,2;0;14,4
"Linsen reif frisch";"Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen";309;1,4;49,3;49,3;23,5;10,6;9,3;0;3,2;0,3;4,8
"Oliven";"Hülsenfrüchte (reif), Schalenobst, Öl- und andere Samen";143;13,9;1,8;1,8;1,4;2,4;71,7;0;6,4;2,5;1,4
"Müsli";"Cerealien, Getreide und Getreideprodukte, Reis";351;7,3;60;59,9;10,4;8,1;11,5;0;2;0,4;3,7
"Kokosflocken aus Fondant";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";380;9,1;72,8;72,8;1;2,3;14,2;0;0,5;0;1,7
"Gouda mind. 10% Fett i. Tr.";"Milch, Milcherzeugnisse, Käse";256;16;0;NA;27,4;0;52,7;0;2,9;1;21,6
"Gelee einfach";"Süßwaren, Zucker, Bonbons, Schokolade, Brotaufstrich süß, Eis";280;0,1;68,5;68,3;0,1;0;30,9;0;0,1;0,2;0,9
"Tomatensoße italienisch (Zubereitung Großküche)";"Menükomponenten";75;4,2;6,4;6,4;2,7;1,6;83,5;0;1,4;0,2;6,6
"Kohlrabi frisch";"Gemüse und Gemüseerzeugnisse";25;0,1;3,7;3,7;2;1,5;91,6;0;0,9;0,2;7,2
