"name";"Eisen";"Zink";"Kupfer";"Mangan";"Fluorid";"Iodid"
"Gnocchi gekocht";310;14;6,4;59;135;272
"Kopfsalat mit Essigmarinade (Zubereitung Haushalt)";789;26;2,8;44;159;291
"Salami Kroatische Art";1352;72;3;84;129;2368
"Suppenhuhn Fleisch (mittelfett) frisch";1400;40;0,9;250;20;1100
"Lyoner Wurst";1044;55;2,8;72;102;1744
"Marzipan Rohmasse";2786;59;1,3;558;1239;1730
"Weintraube weiß frisch";500;14;1;83;104;55
"Kleber (Gluten)";54;3;1;8;54;43
"Rhabarber frisch";500;40;1;50;130;150
"Papaya";420;15;1,6;35;23;376
"Tomatensoße mit Tomatenmark (Zubereitung Gastronomie)";1178;43;4,3;279;217;547
"Geflügel Döner";1020;43;2,1;133;251;733
"Walnüsse geröstet";2284;619;3;801;1792;2457
"Gouda mind. 45% Fett i. Tr.";280;115;11,8;40;40;4250
"Haferflockenbrei (Zubereitung Haushalt)";673;26;6,6;74;434;791
"Dresdner Stollen aus Hefeteig fettreich";986;57;2;168;719;674
"Kefir entrahmt";51;13;8;12;5;375
"Lachsschinkenpastete";1616;48;2,4;73;68;1397
"Mais-Fladenbrot";1510;43;3,3;131;179;1614
"Roggen Vollkorn";4855;150;7,2;463;4176;3886
"Schwein Schinken gekocht geräuchert";1128;60;3,6;59;75;1851
"Blattspinat tiefgefroren";3872;104;11,5;113;448;552
"Weißkohl (Weißkraut) gegart";389;11;5,2;32;93;164
"Maiskeimöl";1300;0;0;50;0;0
"Brathähnchen Brustfilet roh";1100;40;0,4;140;20;1040
"Schweineschmalz, -fett";60;15;9,7;20;14;110
"Plockwurst einfach";1221;47;1,4;76;72;2248
"Hirse ganzes Korn roh";9000;40;5;490;710;2240
"Butterschmalz";200;30;0,5;10;5;180
"Frikadelle (Zubereitung Gastronomie)";1768;72;2,9;102;135;2550
"Kalb Leber roh";7900;19;4,3;5500;280;6163
"Stockwurst";1351;48;2,4;81;68;2429
"Bier";12;1;1,5;10;16;6
"Camembert Doppelrahmstufe";300;100;20;70;30;2700
"Schwein Filet (mager) frisch gegart";1510;82;1,5;61;90;2332
"Schnittkäse";300;115;35;100;40;3800
"Debreziner Konserve";1186;44;1,1;76;49;2099
"Zucchini gedünstet mit Knoblauch (Zubereitung Haushalt)";2090;28;2,7;83;185;254
"Eier gekocht, gesalzen (Zubereitung Haushalt)";1570;105;10;126;30;1346
"Rind Leber roh";6895;130;14;3195;338;4816
"Quark mit Früchten Magerstufe- Magerquark";346;13;6;46;70;351
"Krabbe klein (Shrimps) gegart";1751;159;89;309;30;2160
"Wildreis gekocht";741;17;1,1;198;502;2139
"Sülzwurst hervorhebend";1564;64;2,7;106;104;2048
"Geflügelbratwurst";1033;35;2,4;125;68;1763
"Weißer Preßkopf";1629;71;1,6;135;115;2653
"Rind Hackfleisch frisch";1920;53;0,3;90;20;3731
"Sülzkotelett";1366;39;2,7;61;56;1072
"Gänseleberkäse getrüffelt";21934;94;2,6;4229;242;2892
"Pommes frites mit Ketchup";1006;17;3,4;148;115;427
"Mango tiefgefroren";417;10;2,1;125;31;42
"Zwiebeln gebraten (zubereitet ohne Fett)";232;44;1,9;46;132;193
"Schnittkäse Vollfettstufe";305;117;36;102;41;3869
"Zucker braun Rohzucker";0;20;0;54;20;60
"Schinkenwurst Krakauer Art roh";1212;51;1,1;76;78;2212
"Quark mit Kräutern Fettstufe";1722;38;8;116;735;657
"Pastete im Brotteig";1104;59;2,4;59;89;1884
"Schwein Leber gegart";19531;345;16,7;1210;365;7178
"Lauchzwiebel roh";1200;40;2;80;230;1000
"Kartoffelpüree (Zubereitung Gastronomie)";304;18;4,8;69;104;350
"Aprikose Konfitüre";439;4;0,2;61;71;52
"Klarer";11;0;0;11;0;4
"Gerste Perlgraupen";2000;240;1;400;1300;2100
"Lakritze";2846;23;0,5;86;721;648
"Westfälische grobe Mettwurst";1103;59;2,5;72;99;1961
"Helle Zungenwurst Konserve";1554;44;2,4;112;81;1774
"Schalotte roh";1200;40;3;50;100;400
"Cornflakes mit Zucker, Honig geröstet";1945;49;1;190;48;289
"Haferdrink";400;0;22,5;0;400;300
"Spargel weiß gegart";545;48;6,7;165;103;336
"Sojaerzeugnisse";10043;362;6;1205;2722;4200
"Marmorkuchen aus Rührmasse";1160;70;4,1;141;210;776
"Weichkäse aus Ziegenmilch (45% Fett i. Tr.)";300;100;20;70;30;3000
"Landjäger";1214;46;1,2;83;61;2169
"Zuckererbsen frisch";2000;27;4;200;400;4100
"Weizen Grieß gegart";111;7;0;17;66;347
"Feldsalat frisch";2000;100;35;110;200;540
"Hafer ganzes Korn roh";5800;95;8;410;3000;3204
"Weißbrot-Weizentoastbrot";1155;42;3,3;188;528;981
"Walnüsse";2500;680;3;880;1970;2700
"Konfitüre Gelee Marmeladen";366;3;1;47;30;58
"Kiwi frisch";800;10;1,6;120;50;450
"Haselnusspastete";1644;51;2,4;184;624;1791
"Lachs tiefgefroren";1000;30;34;200;20;800
"Pumpernickel";2661;102;4,4;301;2287;2409
"Kaiserjagdwurst Konserve";931;50;2,2;60;86;1627
"Mais-Vollkornfladenbrot";1565;46;3,3;137;274;1396
"Honig";1300;40;0,5;90;30;350
"Vollkornbrot mit Sonnenblumenkernen";2811;101;4,8;382;2283;2520
"Schaf Muskelfleisch";1770;20;0,7;120;24;4060
"Rind Lunge frisch";7500;50;6;260;100;1610
"Pak Choi frisch";600;15;0,3;20;280;340
"Champignon frisch";1186;31;18;400;89;540
"Knoblauchwurst einfach";1115;33;1,1;81;40;2052
"Wurzelpetersilie frisch";850;80;1;200;150;180
"Apfel Fruchtsaft";260;10;1;59;120;120
"Beerenobst";500;14;1;83;104;55
"Pecannuss frisch";2400;140;5;1100;4000;5300
"Schweinefilet im Netz                   ";1341;59;3,7;94;240;1775
"Geflügelwiener Würstchen";943;42;1,7;111;73;1506
"Spekulatius aus Mürbeteig";1722;76;2,3;187;487;958
"Geflügelgalantinen                     ";5832;123;3,5;484;177;3198
"Mosaik-, Schachbrettpastete und andere";5593;50;2,4;84;89;1673
"Kresse frisch";2900;24;2;130;350;150
"Banane frisch";550;20;2,8;130;530;220
"Rumpsteak (Zubereitung Großküche)";3163;137;0,1;100;30;5727
"Linsen reif frisch";7500;26;0,7;715;1400;3730
"Oliven";1600;30;4,5;250;58;150
"Müsli";3342;68;3,4;453;2961;2548
"Kokosflocken aus Fondant";968;15;0,3;103;351;210
"Gouda mind. 10% Fett i. Tr.";280;115;11,8;40;40;4250
"Gelee einfach";362;3;1;48;30;59
"Tomatensoße italienisch (Zubereitung Großküche)";1615;29;1,6;155;386;431
"Kohlrabi frisch";900;10;1,4;120;130;260
"Kokosnuss";2250;10;1,2;0;1310;785
"Obstsalat süßsauer (Zubereitung Haushalt)";412;18;1,4;119;173;177
"Kalbfleischsülze";1648;18;1,3;104;31;2558
"Salami ungarische Art";1068;55;2,5;72;95;1849
"Muffins mit Schokolade";2835;49;3,1;732;659;1552
"Graubrot-Weizenmischbrot mit Sonnenblumenkernen";1905;66;2,7;324;1169;1442
"Aprikose - Marille";650;10;0,5;134;167;102
"Schinkenroulade";1194;62;1,2;75;92;2068
"Kartoffelsalat mit grüner Gurke und Mayonnaise (Zubereitung Gastronomie)";386;13;3,3;69;104;260
"Brötchen-Roggenbrötchen mit Sonnenblumenkernen";2365;104;4,2;468;1541;1987
"Leberwurst einfach";3880;68;3,5;194;101;2101
"Bohnen grün tiefgefroren gegart";773;12;3,3;89;374;349
"Vollkornbrot-Mehrkornvollkornbrot";2876;102;4,4;333;2241;2417
"Kalbfleisch-Pastete";1750;42;1,2;110;105;2492
"Hausmacher Blutwurst Konserve";16962;29;2,1;111;87;1117
"Salzstangen";700;0;0;0;0;500
"Mozzarella";154;0;165;0;0;2981
"Brathähnchen Leber frisch";9500;100;2,4;406;291;3210
"Rote Bete gegart";823;19;0;79;146;269
"Agavendicksaft";100;100;0;0;0;0
"Shiitakepilz frisch";440;50;10;300;150;500
"Mortadella Konserve";1064;53;2,7;88;96;1661
"Marmelade";366;3;1;47;30;58
"Griechischer Joghurt";700;0;7,9;200;500;700
"Rind Pökelfleisch gekocht ungeräuchert";1939;50;2,1;67;31;4125
"Rote Rübe Konserve abgetropft";661;22;1,6;88;134;315
"Schwein Nacken (Kamm) (fett) frisch gegart";2159;60;1,4;78;60;1455
"Hirsch Fleisch (mager) frisch";2310;30;0,6;170;20;3210
"Geflügelleberwurst";23420;132;5;4146;271;3792
"Haselnusspastete mit Mürbeteig";1181;49;2,4;197;712;1454
"Joghurt 10% mit Früchten";101;12;6;16;8;361
"Geflügelbierwurst";1467;56;2,2;140;92;2239
"Schwarze Graupenwürstchen";14378;85;2,4;206;362;1666
"Tofu frisch";1900;10;1;17;350;300
"Rotwein leicht";600;12;10;40;200;130
"Kürbiskern geröstet";4897;90;2,7;834;2771;6157
"Vollkornbrot mit Ölsamen";2811;101;4,8;382;2283;2520
"Linsen reif gegart";2644;10;0,4;208;523;1392
"Bratwurst (nicht umgerötet)";732;38;2,1;63;74;1214
"Amaranth roh";7590;50;2,5;777;2260;3180
"Brühwurst feingekuttert (umgerötet)";1044;55;2,8;72;102;1744
"Avocado";440;51;3;390;186;644
"Hirschsalami";2123;43;1,3;164;68;3043
"Cashewnuss geröstet und gesalzen";4022;126;11,2;2129;795;4658
"Geflügelknackwurst";943;42;1,7;111;73;1506
"Knacker einfach, Schüblinge einfach";706;37;2,1;60;62;1247
"Kiwi";800;10;1,6;120;50;450
"Erbswurst";1780;29;6;255;411;1622
"Schnittkäse aus Ziegenmilch (50% Fett i. Tr.)";230;0;24;0;0;3050
"Milzwurst";3817;55;2,4;101;69;2721
"Deutsche Salami";1061;55;2,5;73;101;1852
"Haferkleieflocken";4437;80;0,8;410;4934;3642
"Leinsamen";6750;67;2;1200;2260;4170
"Brötchen mit Sonnenblumenkernen";1565;45;3,2;281;593;1125
"Sonnenblumenöl";71;0;0;1;0;55
"Geflügelmortadella gebraten (zubereitet ohne Fett)";1331;16;45,3;54;43;2187
"Zwieback";1500;0;3,5;400;750;570
"Spaghetti gekocht, mit Butterflöckchen (Zubereitung Gastronomie)";460;34;0,6;52;267;617
"Sonnenblumenkern roh";5720;63;4;1890;2380;5760
"Macadamianuss roh";200;100;3;363;5500;1400
"Chicoree frisch";740;70;1;140;300;190
"Weiße Graupenwurst";1750;89;2,4;192;399;1482
"Mortadella süddeutsch, Zungenwurst";1899;56;2,6;149;83;1703
"Hüttenkäse Halbfettstufe";100;17;20;20;6;500
"Kasseler gebraten im Backofen ohne Fett";468;0;43,6;0;0;1318
"Whisky";30;0;0;20;15;50
"Margarine pflanzlich Linolsäure 30-50%";60;8;1,5;40;12;160
"Bohnen grün tiefgefroren";821;12;3,3;84;376;332
"Geflügelmortadella gekocht";1555;20;55,7;67;53;2688
"Studentenfutter mit Erdnüssen";1941;84;7,4;812;1439;1949
"Corned Beef";2500;130;3;240;31;4000
"Brötchen-Roggenmischbrötchen";1624;90;3,2;205;1408;1297
"Pfefferminztee (Getränk)";80;115;5;15;44;40
"Erbsen grün Konserve";1035;20;4;237;394;478
"Makrele roh Fischzuschnitt";1174;30;49,8;114;31;519
"Kürbiscremesuppe (Zubereitung Haushalt)";227;21;4,9;42;107;373
"Linsen-Eintopf (Zubereitung Gastronomie)";1462;23;3,2;141;229;1273
"Hafer Schrot";5800;95;6;470;3700;4500
"Chilischote rot frisch";1000;20;2;170;200;300
"Saure Sahne";100;12;12;25;4;430
"Papaya gegart";443;17;1,8;37;26;418
"Thunfisch Konserve in Öl, abgetropft";842;26;42,6;75;18;685
"Joghurt mit Magermilch angereichert teilentrahmt";60;16;9,5;15;6;460
"Zwiebelwurst";5136;98;2,4;493;155;2579
"Johannisbeere schwarz Konfitüre";625;11;0;61;130;121
"Pökelwaren Pökelfleisch";2026;52;2,2;70;32;4309
"Pfälzer Saumagen";1061;53;2,7;92;154;1663
"Roggenfladenbrot";2059;100;3,3;362;1428;1739
"Spitzpaprika grün";750;20;2,3;71;100;180
"Fleischwurst Pariser";1044;55;2,8;72;102;1744
"Kalbsleberwurst grob";4249;97;2,3;355;137;2641
"Erdnuss roh";1813;130;13;767;1604;2829
"Apfelmus (Zubereitung Haushalt)";376;8;2,1;87;48;110
"Buchweizenbrot";2283;53;3,3;242;1708;1678
"Heidelbeere tiefgefroren";773;2;1;101;877;113
"Schwein Schinken roh geräuchert (Lachsschinken)";1616;44;3,2;54;64;1189
"Graubrot-Roggenbrot mit Käse";2011;100;4,2;355;1390;1795
"Blumenkohl tiefgefroren";506;9;0,7;45;179;284
"Dinkelbrötchen";4036;33;1,2;459;1382;2018
"Cocktailtomaten";300;0;1,1;100;100;100
"Käsespätzle (Zubereitung Haushalt)";752;50;6,1;134;149;979
"Knäckebrot-Roggenbrot";3277;159;5;576;2272;2767
"Gurkensalat mit Joghurt (Zubereitung Haushalt)";414;19;3,6;69;130;229
"Müsli-Riegel";2180;24;2,3;598;2318;1450
"Schwein Rückenspeck";290;12;1;60;6;530
"Reisdrink";0;0;10,2;0;0;0
"Rostbratwurst";991;49;1,1;69;92;1670
"Traubenzucker";290;0;0;15;10;20
"Mungobohnen reif";9800;50;7;720;1200;2478
"Laugengebäck";1461;57;3;196;796;1336
"Rind Mark";150;4;0,3;20;2;200
"Erdbeerkonfitüre";537;9;0;54;89;57
"Brathähnchen Brustfilet gekocht";984;45;0,4;78;22;1163
"Tiroler";1508;67;1,2;76;99;2708
"Tomatensoße aus frischen Tomaten (Zubereitung Haushalt)";222;17;2,9;50;66;176
"Rind Milz frisch";9000;100;4;168;73;2110
"Auberginenscheiben gebraten (Zubereitung Haushalt)";487;22;1,2;97;216;320
"Getreideerzeugnisse Frühstückscerealien";3342;68;3,4;453;2961;2548
"Krakauer";1317;48;1,1;79;58;2413
"Grünkohl tiefgefroren";1875;20;12,1;55;543;326
"Aubergine frisch";420;20;0,8;90;190;280
"Porree frisch";1000;10;1,3;55;190;310
"Kidney-Bohnen Konserve gegart abgetropft";1369;15;0,5;120;303;680
"Grapefruit frisch";340;24;1,3;40;13;170
"Banane";550;20;2,8;130;530;220
"Stachelbeere frisch";630;11;0,1;95;40;100
"Bohne weiß frisch gegart";2478;38;0,5;210;687;1121
"Hanfsamen";10900;100;3,2;1900;3600;6700
"Rum";120;0;0;68;18;70
"Käsekuchen aus Mürbeteig";915;55;6,5;75;126;743
"Gänseleberpastete";10058;134;3,6;4881;307;3551
"Fleischwurst Konserve";834;44;2,6;72;72;1474
"Tomatensalat mit Essigmarinade und Zwiebeln (Zubereitung Haushalt)";479;26;1,7;55;127;167
"Bratwurst (Zubereitung Haushalt)";754;39;2,2;62;64;1187
"Touristenwurst einfach";1253;59;2,4;65;77;2105
"Buchweizen";3200;170;0,5;900;2000;2500
"Weizen Mehl Type 550";1002;50;0,7;140;687;781
"Thunfisch Konserve abgetropft";843;29;42,7;82;18;709
"Weißbrot-Weizenbrot";1258;41;2,2;171;485;877
"Rind Rücken (Roastbeef) (mager) frisch gegart";2807;84;0;93;27;4810
"Heidelbeere frisch";740;2;1,2;97;840;108
"Mischgemüse gedünstet (Zubereitung Großküche)";1340;25;8;126;286;493
"Rote Bete frisch";930;20;0,4;80;155;344
"Kapstachelbeere frisch";1300;15;1;115;350;110
"Grünkern";4200;60;0,6;260;3000;3500
"Weiße Lyoner";1013;53;2,7;69;99;1692
"Weiße Bohnen in Tomatensoße (Zubereitung Haushalt)";1051;26;2,7;145;273;531
"Erdnuss geröstet";2336;140;0,5;701;1778;3697
"Brötchen-Roggenbrötchen";2177;106;3,2;383;1510;1838
"Endivien frisch";1400;62;6,4;44;153;355
"Thüringer Rotwurst Konserve";7286;90;2,7;157;113;2596
"Leinöl";0;0;0;0;0;0
"Basmatireis ungekocht";292;30;6,2;251;702;303
"Leberwurst grob";6105;136;2,3;503;183;3385
"Rote Bete Gemüsesaft";870;20;0;79;154;339
"Kolbacz";884;44;2,1;61;73;1461
"Hefezopf aus Hefeteig fettarm";1136;46;4,1;126;283;792
"Johannisbeere schwarz frisch";1200;29;1;141;336;293
"Fischstäbchen (Zubereitung Haushalt)";435;42;124,6;166;128;688
"Eisbergsalat frisch";500;100;2;28;151;220
"Geflügelsalami fettarm";1328;43;3,8;154;86;2528
"Gesülzter Hackbraten";1306;49;2,5;79;66;2207
"Graubrot-Weizenmischbrot mit Sauermilch";1698;65;3,3;230;1119;1292
"Preiselbeere Konfitüre";367;15;2;72;102;83
"Tomatensuppe (Zubereitung Haushalt)";445;20;3;49;60;157
"Gerste Graupen";2000;240;1;400;1300;2100
"Kräutertee (Getränk)";80;115;5;15;44;40
"Kalb Muskelfleisch";2100;20;0,1;113;29;3230
"Vollkornmehl";3400;90;2,7;630;3100;3400
"Grünkern Schrot";4200;60;0,6;260;3000;3500
"Oliven schwarz";1600;30;4,5;230;50;150
"Geflügelwiener Würstchen erwärmt";1027;46;1,9;121;79;1640
"Jagdwurst (Süddeutsche und Norddeutsche)";931;50;2,2;60;86;1627
"Margarine";60;8;1,5;40;12;160
"Sauerkraut Konserve abgetropft";423;44;3,1;131;120;292
"Grünkohl frisch gegart";1254;16;9,7;47;436;218
"Französische Schweinefleisch-Terrine";1404;62;2,4;86;177;1939
"Cabanossi";1275;49;1,2;80;63;2151
"Couscous gekocht";1188;41;1,5;177;558;1137
"Butterkäse";400;140;35;120;50;4000
"Rind Fett";320;0;0;80;1;0
"Orange, Apfelsine";400;5;2,1;67;29;100
"Sojaeiweiß texturiert (""Sojafleisch"")";12500;120;0,8;2500;4000;4400
"Wollwurst, Geschwollene";732;38;2,1;63;74;1214
"Lachs frisch";1000;30;34;200;20;800
"Bierschinken Konserve";953;52;2,1;56;86;1697
"Bauernleberwurst";5782;126;2,2;471;175;3091
"Fleischkäse im Teigmantel";1122;58;3,5;100;187;1557
"Bratwurst geräuchert";1221;64;2,4;71;106;2166
"Milchschokolade Vollmilch-Nuß";2380;41;11,7;686;723;1527
"Basmatireis gekocht";141;16;4,1;97;253;920
"Vollkornteigwaren";3900;40;1,9;510;264;3000
"Brie";300;100;20;70;30;2600
"Pistazie geröstet und gesalzen";3041;109;5;1002;608;1746
"Magerquark";400;17;10;17;7;600
"Pistazie geröstet";3100;110;4,7;1020;616;1780
"Milchspeiseeis Vanille";66;14;5,8;19;5;285
"Rindergulasch ""deutsche Art"" (Zubereitung Haushalt)";1387;44;2,4;64;56;1986
"Zwiebelleberwurst einfach";3880;68;3,5;194;101;2101
"Spinat tiefgefroren gegart";3596;116;12,4;133;499;513
"Waldpilze";890;50;10;300;160;500
"Rind Steak (mager) frisch gegart";2807;84;0;93;27;4810
"Leberwurst Aachener Frankfurter";6356;129;2,2;513;197;3127
"Kidney-Bohnen";6400;12;1;680;1200;3000
"Milchspeiseeis";66;14;5,8;19;5;285
"Dinkelvollkornbrötchen";6581;35;1,4;592;2044;2662
"Grahambrötchen";1501;45;2,1;194;708;1032
"Sojabohnen reif frisch gegart";4014;153;2,8;397;1152;1777
"Schokoladenpudding mit Vanillesoße (Zubereitung Großküche)";374;14;5,7;87;56;410
"Kaffee mit Milch und Zucker (Getränk)";197;1;1,2;99;76;22
"Erythrit";0;0;0;0;0;0
