name;Vitamin A Retinoläquivalent;Vitamin A Retinol;Vitamin A Beta-Carotin;Vitamin B1 Thiamin;Vitamin B2 Riboflavin;Vitamin B3 Niacin, Nicotinsäure;Vitamin B3 Niacinäquivalent;Vitamin B5 Pantothensäure;Vitamin B6 Pyridoxin;Vitamin B7 Biotin (Vitamin H);Vitamin B9 gesamte Folsäure;Vitamin B12 Cobalamin;Vitamin C Ascorbinsäure;Vitamin D Calciferole;Vitamin E Tocopherole;Vitamin K
Hühnerei Vollei frisch;278;276;13;100;310;83;3100;1600;120;25;65;2;0;2,9;2022;48
Gnocchi gekocht;5;13;14;48;0,1;6;834;1601;327;18;1,4;11;10431;0,1;171;2
Kopfsalat mit Essigmarinade (Zubereitung Haushalt);1070;0;179;45;0;60;300;467;81;41;1,4;27;10028;0;7440;99
Salami Kroatische Art;0;5;5;973;2;265;3589;8272;652;618;3;3;2;0;419;19
Suppenhuhn Fleisch (mittelfett) frisch;0;32;32;60;0,4;170;6500;9983;900;350;2;8;0;0;300;0
Lyoner Wurst;0;4;4;708;1;194;2620;5020;472;446;2;2;26587;0;324;14
Marzipan Rohmasse;78;0;13;143;0;403;2717;4350;377;101;6,5;62;520;0;16978;0
Weintraube weiß frisch;25;0;4;45;0;25;230;297;65;75;1,5;5;4000;0;666;10
Kleber (Gluten);0;0;0;10;0;3;70;13570;16;10;1;10;0;0;100;10
Rhabarber frisch;70;0;12;30;0;30;250;367;85;30;1;3;10000;0;250;11
Papaya;165;0;27;30;0;39;300;583;218;30;1,8;2;80290;0;700;0
Tomatensoße mit Tomatenmark (Zubereitung Gastronomie);1476;51;358;133;0;78;1915;2432;555;257;3,9;29;20181;0,1;2811;73
Geflügel Döner;181;19;49;68;0,1;79;3146;5463;395;201;3;17;1655;0,1;498;29
Walnüsse geröstet;275;0;46;155;0;76;637;2604;447;475;9;35;1183;0;6814;15
Gouda mind. 45% Fett i. Tr.;150;260;285;15;1,9;161;100;4850;340;37;1,5;21;1000;1,3;760;0
Haferflockenbrei (Zubereitung Haushalt);19;53;57;79;0,2;149;161;1194;454;55;5,9;9;646;0,3;387;14
Kefir entrahmt;10;20;22;41;1;172;91;841;375;51;4;5;1014;0;41;2
Lachsschinkenpastete;1;3;3;638;1;167;1876;5093;391;432;1;2;16;0;270;13
Mais-Fladenbrot;187;0;31;234;0;69;1148;1765;259;28;4;3;0;0;939;26
Roggen Vollkorn;12;0;2;350;0;170;1810;3310;1500;290;5;56;0;0;1959;30
Schwein Schinken gekocht geräuchert;0;4;4;368;1;188;1611;5194;384;242;2;2;0;0;185;15
Blattspinat tiefgefroren;4672;0;779;92;0;217;585;1252;249;185;7;57;38192;0;1434;294
Weißkohl (Weißkraut) gegart;67;0;11;25;0;23;187;404;189;74;1;41;21366;0;1762;83
Maiskeimöl;140;0;23;0;0;0;0;0;0;0;0;0;0;0;33774;60
Brathähnchen Brustfilet roh;0;27;27;70;0,4;90;10500;15050;840;530;2;9;0;0;250;0
Schweineschmalz, -fett;0;9;9;0;0;0;0;17;0;20;0;0;0;0;1609;0
Plockwurst einfach;0;6;6;435;2;189;2872;6855;380;266;1;2;0;0;394;11
Hirse ganzes Korn roh;0;0;0;260;0;140;1800;4250;1200;750;1;32;0;0;50;1
Butterschmalz;200;850;883;0;0;0;10;60;10;1;0;0;0;1,6;3600;8
Frikadelle (Zubereitung Gastronomie);132;43;65;350;2,6;232;4088;7688;643;240;6,1;15;4474;0,3;871;79
Kalb Leber roh;0;28200;28200;280;60;2610;15000;19000;7900;170;75;240;35000;0,3;240;89
Stockwurst;1;7;7;350;2;175;2800;5817;373;241;1;2;23075;0;234;10
Bier;0;0;0;3;0,1;33;770;903;150;35;1,2;5;0;0;0;0
Camembert Doppelrahmstufe;200;370;403;40;1,8;400;1200;4833;700;200;4,8;60;1;0,7;770;35
Schwein Filet (mager) frisch gegart;0;7;7;590;2;251;3643;9343;510;328;5;3;0;0;478;21
Schnittkäse;150;280;305;40;1,9;300;100;5467;400;70;1,5;35;1;0,5;420;30
Debreziner Konserve;116;5;24;358;2;166;2527;5044;339;204;1;2;21146;0;303;9
